[2, 17, 13, 3, 0, 49.26359, 0.9973813]
[2, 17, 14, 1, 0, 49.28522, 0.9974124]
[2, 17, 16, 249, 254, 49.36544, 0.99740946]
[2, 17, 18, 0, 0, 49.37281, 0.9974098]
[2, 18, 13, 4, 0, 49.439682, 0.99741644]
[2, 18, 15, 251, 251, 49.447174, 0.99741375]
[2, 18, 18, 1, 0, 49.46974, 0.9974139]
[2, 19, 12, 0, 0, 49.477287, 0.9974142]
[2, 19, 15, 250, 254, 49.5458, 0.9974141]
[2, 19, 17, 3, 0, 49.599846, 0.997414]
[2, 19, 18, 0, 0, 49.607624, 0.9974141]
[2, 20, 12, 3, 3, 49.615414, 0.9974141]
[2, 20, 13, 204, 203, 49.638863, 0.9974142]
[2, 20, 14, 252, 254, 49.67824, 0.9974142]
[2, 20, 16, 35, 35, 49.686157, 0.9974141]
[2, 20, 17, 1, 0, 49.71, 0.9974141]
[2, 21, 11, 1, 0, 49.73397, 0.9974141]
[2, 21, 13, 251, 254, 49.790424, 0.9974141]
[2, 21, 14, 254, 254, 49.79855, 0.99741405]
[2, 21, 16, 3, 0, 49.855854, 0.99741405]
[2, 22, 11, 30, 31, 49.880653, 0.99741405]
[2, 22, 13, 252, 254, 49.922287, 0.99741405]
[2, 22, 15, 4, 1, 49.981262, 0.99741405]
[2, 22, 16, 0, 0, 49.989754, 0.99741405]
[2, 23, 10, 0, 0, 49.99826, 0.99741405]
[2, 23, 12, 249, 254, 50.092957, 0.99741405]
[2, 23, 14, 52, 52, 50.10167, 0.99741405]
[2, 23, 15, 0, 0, 50.110397, 0.99741405]
[2, 24, 11, 242, 242, 50.11915, 0.99741405]
[2, 24, 12, 251, 254, 50.180874, 0.99741405]
[2, 25, 9, 2, 0, 50.22551, 0.99741405]
[2, 25, 11, 253, 254, 50.25251, 0.99741405]
[2, 25, 13, 220, 219, 50.279686, 0.99741405]
[2, 25, 14, 39, 40, 50.30703, 0.99741405]
[2, 26, 9, 1, 0, 50.33454, 0.99741405]
[2, 26, 10, 120, 121, 50.362236, 0.99741405]
[2, 26, 11, 253, 254, 50.390102, 0.99741405]
[2, 26, 14, 2, 0, 50.436954, 0.99741405]
[3, 7, 5, 2, 0, 50.484318, 0.99741405]
[3, 7, 12, 1, 0, 50.51298, 0.99741405]
[3, 7, 13, 1, 0, 50.541836, 0.9974142]
[3, 7, 21, 4, 0, 50.629578, 0.9974142]
[3, 8, 7, 253, 254, 50.65922, 0.9974142]
[3, 8, 9, 254, 254, 50.66915, 0.9974141]
[3, 8, 10, 254, 254, 50.6791, 0.997414]
[3, 8, 13, 197, 198, 50.709087, 0.99741375]
[3, 9, 5, 0, 0, 50.719124, 0.99741375]
[3, 9, 12, 253, 254, 50.74939, 0.9974113]
[3, 9, 14, 253, 254, 50.77987, 0.9974076]
[3, 9, 16, 254, 254, 50.790073, 0.99740654]
[3, 9, 19, 251, 254, 50.8622, 0.9974064]
[3, 9, 21, 140, 140, 50.8726, 0.9974064]
[3, 9, 22, 0, 0, 50.88303, 0.9974064]
[3, 10, 6, 0, 0, 50.893482, 0.9974064]
[3, 10, 7, 0, 0, 50.903957, 0.9974064]
[3, 10, 8, 2, 0, 50.95673, 0.9974065]
[3, 10, 9, 1, 0, 50.988705, 0.99740684]
[3, 10, 10, 1, 0, 50.97802, 0.9974049]
[3, 11, 9, 1, 0, 51.01015, 0.99740624]
[3, 11, 10, 0, 0, 51.020912, 0.99741364]
[3, 11, 15, 1, 0, 51.053364, 0.99748856]
[3, 11, 17, 2, 0, 51.10799, 0.99749726]
[3, 11, 19, 252, 253, 51.1411, 0.99749726]
[3, 12, 15, 0, 0, 51.152195, 0.997658]
[3, 12, 16, 1, 0, 51.18565, 0.99772954]
[3, 12, 19, 253, 255, 51.241978, 0.9977293]
[3, 12, 21, 1, 0, 51.27613, 0.9977293]
[3, 13, 14, 0, 0, 51.28757, 0.99809116]
[3, 13, 15, 0, 0, 51.299046, 0.9983054]
[3, 13, 16, 0, 0, 51.31055, 0.9983891]
[3, 13, 18, 252, 254, 51.368534, 0.998387]
[3, 14, 14, 0, 0, 51.380222, 0.9986832]
[3, 14, 15, 3, 0, 51.46295, 0.9989333]
[3, 14, 20, 2, 0, 51.523018, 0.9989333]
[3, 15, 9, 0, 0, 51.535133, 0.9989353]
[3, 15, 14, 1, 0, 51.571682, 0.9991176]
[3, 15, 15, 0, 0, 51.58393, 0.99920964]
[3, 15, 17, 250, 254, 51.69577, 0.9992092]
[3, 15, 20, 1, 0, 51.733704, 0.99920934]
[3, 16, 14, 2, 0, 51.797665, 0.9992872]
[3, 16, 16, 206, 205, 51.8365, 0.9993042]
[3, 16, 17, 248, 248, 51.84952, 0.9993013]
[3, 17, 13, 2, 0, 51.915226, 0.9993212]
[3, 17, 14, 0, 0, 51.928486, 0.99933517]
[3, 17, 16, 250, 254, 52.049694, 0.9993353]
[3, 18, 13, 3, 0, 52.146362, 0.9993392]
[3, 19, 13, 19, 19, 52.160347, 0.999339]
[3, 19, 14, 222, 221, 52.202576, 0.99933934]
[3, 19, 15, 251, 254, 52.30275, 0.9993392]
[3, 19, 17, 2, 0, 52.375744, 0.9993393]
[3, 20, 14, 253, 254, 52.420135, 0.9993393]
[3, 20, 17, 0, 0, 52.43503, 0.9993393]
[3, 21, 11, 0, 0, 52.449986, 0.9993393]
[3, 21, 13, 252, 254, 52.525513, 0.9993392]
[3, 21, 16, 2, 0, 52.602386, 0.9993392]
[3, 22, 11, 31, 31, 52.61792, 0.9993392]
[3, 22, 13, 253, 254, 52.66487, 0.9993392]
[3, 22, 14, 114, 115, 52.649166, 0.9993392]
[3, 22, 15, 3, 1, 52.728275, 0.9993392]
[3, 23, 12, 250, 254, 52.87441, 0.9993392]
[3, 24, 12, 252, 254, 52.957767, 0.9993392]
[3, 24, 13, 254, 254, 52.974632, 0.9993392]
[3, 25, 9, 1, 0, 53.025627, 0.9993392]
[3, 25, 11, 254, 254, 53.04276, 0.9993392]
[3, 25, 13, 219, 219, 53.05996, 0.9993392]
[3, 26, 9, 0, 0, 53.077225, 0.9993392]
[3, 26, 10, 121, 121, 53.094563, 0.9993392]
[3, 26, 11, 254, 254, 53.11197, 0.9993392]
[3, 26, 14, 1, 0, 53.16461, 0.9993392]
[3, 27, 11, 2, 0, 53.25379, 0.9993392]
[4, 7, 5, 1, 0, 53.308193, 0.9993392]
[4, 7, 8, 160, 159, 53.289986, 0.9993392]
[4, 7, 16, 1, 0, 53.344845, 0.9993392]
[4, 7, 17, 1, 0, 53.400406, 0.9993392]
[4, 7, 21, 3, 0, 53.53288, 0.9993392]
[4, 8, 7, 254, 254, 53.55214, 0.9993392]
[4, 8, 17, 198, 198, 53.571484, 0.9993392]
[4, 9, 14, 254, 254, 53.590916, 0.9993373]
[4, 9, 17, 250, 250, 53.610435, 0.99933726]
[4, 9, 19, 252, 254, 53.70937, 0.9993373]
[4, 10, 8, 1, 0, 53.769825, 0.99933743]
[4, 10, 9, 0, 0, 53.790165, 0.99933743]
[4, 10, 20, 254, 254, 53.810604, 0.99933743]
[4, 11, 9, 0, 0, 53.83114, 0.9993382]
[4, 11, 15, 0, 0, 53.85177, 0.9993717]
[4, 11, 17, 1, 0, 53.91426, 0.9993759]
[4, 11, 19, 253, 253, 53.93529, 0.999376]
[4, 12, 16, 0, 0, 53.956425, 0.99940836]
[4, 12, 19, 254, 255, 54.02045, 0.99940825]
[4, 12, 21, 0, 0, 54.042, 0.99940825]
[4, 13, 18, 253, 254, 54.10731, 0.999407]
[4, 14, 15, 2, 0, 54.21839, 0.999573]
[4, 14, 20, 1, 0, 54.286427, 0.9995729]
[4, 15, 14, 0, 0, 54.30935, 0.99967057]
[4, 15, 17, 251, 254, 54.473248, 0.9996717]
[4, 15, 19, 5, 5, 54.49718, 0.99967164]
[4, 15, 20, 0, 0, 54.52124, 0.99967164]
